id,content,source,tag
1,"To apply for an undergraduate programme, visit the official KNUST website, https://www.knust.edu.gh/announcements/undergraduate-admissions/admission-candidates-undergraduate-degree-programmes-20252026-academic-year, and follow the instructions and procedures given.",knust website,admissions
2,"To apply for a postgraduate programme, visit the official KNUST website,https://www.knust.edu.gh/announcements/general/admission-candidates-research-or-higher-degree-programmes-20252026-academic-year, and follow the instructions and procedures given.",knust website,admissions
3,"To apply for an International Distance Learning (IDL) programme, visit the official KNUST website,https://idl.knust.edu.gh/page/admissions/idl-undergraduate-top-and-diploma-programmes-20252026-admissions, and follow the instructions and procedures given.",knust website,admissions
4,"For the latest KNUST cut-off poins and admission requirements, visit https://webapps.knust.edu.gh/check/forms/Admission_Requirement.pdf",knust website,admissions
5,"You can pay your admission fee or school fees at any of the following banks; GT-Bank, CBG and Ghana Commercial Bank",knust website,admissions
6,"Currently, about 60% of the total student population is non-resident.",knust website,accomodation
7,"There are Six Halls of residence and a number of hostels on the University Campus. They are Queen Elizabeth II Hall , Unity Hall, Independence Hall, Republic Hall, University Hall, and Africa Hall. All the Six Halls of residence are mixed (Male and Female). All the six halls on campus have wi-fi installations that enable residents to have easy access to the internet in the comfort of their rooms and halls. The GUSSS, Graduate Students, Credit Union and the SRC have a Hostel each on campus. Ghana Hostels Limited also has residential facility on campus.",knust website,accomodation
8,"As part of the measures to improve the security of our students, particularly international and to ensure the provision of an enabling residential facility and environment for their studies and stay, it is the policy of the University that, all International Students are to be accommodated on Campus in University's Halls of Residence, GUSSS, Hall Seven and SRC Hostels Facilities. It is therefore an offence for any International Student to lodge outside the designated places",knust website,accomodation
9,"DOSA (Directorate of Student Affairs) at KNUST is responsible for student welfare and support. The Directorate of Student Affairs (DOSA), formally known as The Office of the Dean of Students, was formally established in 1997 to provide the needed necessary welfare support services for students during their period of study at KNUST. The Directorate of Student Affairs (DOSA), formally known as The Office of the Dean of Students was formally established in 1997 to provide the needed necessary welfare support services for students during their period of study at KNUST. The office, over the years, has sought to fulfil its mission by assisting students to understand in both specific and general terms how the university operates both at the social and academic levels.
This consequently enables us to understand regulations and procedures and ways to getting their needs met. The office had further provided opportunities for students to develop and enhance their leadership skills by involving them in decision making processes, supporting advocacy for students and providing and involving them in conflict resolution techniques.
The office is organized into sections to help provide support to the student body of the university community;
Â•	Administration
Â•	Student Guidance and Counselling
Â•	International Student Affairs
Â•	Student Representative Council Affairs 
Â•	Students Housing and Residence Life
Â•	Student Conduct and Discipline
Â•	Student Support Services
Â•	Financial Services
",knust website,accomodation
10,"The Commercial area is the main business hub of the university. The commercial area houses a pool of banks, a post office and well-resourced bookshop. It also houses a number of mini-marts where all assortment of foodstuff can be found. There are printing and photocopy shops scattered all around campus to aid academic work.",knust website,non-residential hostel
11,"There are a number of shuttles at the Commercial area, which stops at various Bus stops on  and around campus.",knust website,non-residential hostel
12,ABUNDANCE GRACE HOSTEL — Location: AYEDUASE NEW SITE — Contact: 0246139376. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
13,ADOM-BI — Location: AYEDUASE — Contact: 0244462154. This is one of the non-residential hostels around KNUST campus.,knust website,non-residential hostel
